CP	Nom	Population	Categorie
05600	Saint-Crépin	640	3
06100	Nice	344064	1
06110	Le Cannet	42754	2
06130	Grasse	51631	2
06140	Vence	19160	2
06160	Antibes	75176	2
06190	Roquebrune-Cap-Martin	12450	2
06210	Mandelieu-la-Napoule	22004	2
06220	Vallauris	27411	2
06230	Villefranche-sur-Mer	5416	3
06230	Saint-Jean-Cap-Ferrat	2014	3
06240	Beausoleil	13567	2
06250	Mougins	18516	2
06260	Puget-Théniers	1820	3
06270	Villeneuve-Loubet	14995	2
06310	Beaulieu-sur-Mer	3762	3
06320	Cap-d'Ail	4877	3
06320	La Turbie	3194	3
06340	La Trinité	10230	2
06340	Drap	4297	3
06340	Cantaron	1288	3
06370	Mouans-Sartoux	10274	2
06380	Sospel	3537	3
06390	Contes	7095	3
06390	Coaraze	759	3
06400	Cannes	72607	2
06410	Biot	9751	3
06420	Isola	769	3
06420	Clans	569	3
06430	Tende	2114	3
06430	La Brigue	734	3
06440	L'Escarène	2414	3
06440	Peille	2304	3
06440	Blausasc	1470	3
06440	Peillon	1410	3
06440	Lucéram	1224	3
06450	Roquebillière	1712	3
06450	Lantosque	1336	3
06450	Saint-Martin-Vésubie	1322	3
06450	Utelle	743	3
06450	Belvédère	640	3
06450	La Bollène-Vésubie	550	3
06460	Saint-Vallier-de-Thiey	3399	3
06460	Escragnolles	607	3
06470	Péone	961	3
06470	Guillaumes	690	3
06480	La Colle-sur-Loup	7701	3
06500	Menton	28926	2
06500	Gorbio	1294	3
06500	Sainte-Agnès	1183	3
06500	Castellar	969	3
06510	Carros	11462	2
06510	Gattières	4036	3
06510	Le Broc	1346	3
06530	Peymeinade	7913	3
06530	Le Tignet	3182	3
06530	Cabris	1427	3
06530	Spéracèdes	1271	3
06540	Breil-sur-Roya	2415	3
06550	La Roquette-sur-Siagne	5106	3
06560	Valbonne	12802	2
06580	Pégomas	7047	3
06590	Théoule-sur-Mer	1538	3
06610	La Gaude	6836	3
06620	Gréolières	574	3
06650	Le Rouret	3887	3
06650	Opio	2142	3
06660	Saint-Étienne-de-Tinée	1296	3
06670	Levens	4709	3
06670	Colomars	3330	3
06670	Saint-Martin-du-Var	2630	3
06670	Castagniers	1542	3
06670	Saint-Blaise	977	3
06670	La Roquette-sur-Var	914	3
06690	Tourrette-Levens	4731	3
06700	Saint-Laurent-du-Var	29942	2
06710	Touët-sur-Var	682	3
